"STATISTIC","Statistic Label","C03514V04244","Electoral Division","TLIST(A1)","Year","UNIT","VALUE"
"IIA10","Median earned income per person working","02162","162 Wood Quay B, Dublin City","2016","2016","Euro","33052"
"IIA10","Median earned income per person working","03001","001 Ballinascorney, South Dublin","2016","2016","Euro","35324"
"IIA10","Median earned income per person working","03002","002 Ballyboden, South Dublin","2016","2016","Euro","32334"
"IIA10","Median earned income per person working","03003","003 Bohernabreena, South Dublin","2016","2016","Euro","23426"
"IIA10","Median earned income per person working","03004","004 Clondalkin-Ballymount, South Dublin","2016","2016","Euro","36670"
"IIA10","Median earned income per person working","03005","005 Clondalkin-Cappaghmore, South Dublin","2016","2016","Euro","32721"
"IIA10","Median earned income per person working","03006","006 Clondalkin-Dunawley, South Dublin","2016","2016","Euro","46763"
"IIA10","Median earned income per person working","03007","007 Clondalkin-Monastery, South Dublin","2016","2016","Euro","34149"
"IIA10","Median earned income per person working","03008","008 Clondalkin-Moorfield, South Dublin","2016","2016","Euro","33070"
"IIA10","Median earned income per person working","03009","009 Clondalkin-Rowlagh, South Dublin","2016","2016","Euro","30495"
"IIA10","Median earned income per person working","03010","010 Clondalkin Village, South Dublin","2016","2016","Euro","27652"
"IIA10","Median earned income per person working","03011","011 Edmondstown, South Dublin","2016","2016","Euro","29195"
"IIA10","Median earned income per person working","03012","012 Firhouse-Ballycullen, South Dublin","2016","2016","Euro","30000"
"IIA10","Median earned income per person working","03013","013 Firhouse-Knocklyon, South Dublin","2016","2016","Euro","30133"
"IIA10","Median earned income per person working","03014","014 Firhouse Village, South Dublin","2016","2016","Euro","26603"
"IIA10","Median earned income per person working","03015","015 Lucan-Esker, South Dublin","2016","2016","Euro","32691"
"IIA10","Median earned income per person working","03016","016 Lucan Heights, South Dublin","2016","2016","Euro","31570"
"IIA10","Median earned income per person working","03017","017 Lucan-St. Helen's, South Dublin","2016","2016","Euro","27928"
"IIA10","Median earned income per person working","03018","018 Newcastle, South Dublin","2016","2016","Euro","34292"
"IIA10","Median earned income per person working","03019","019 Palmerston Village, South Dublin","2016","2016","Euro","31316"
"IIA10","Median earned income per person working","03020","020 Palmerston West, South Dublin","2016","2016","Euro","26965"
"IIA10","Median earned income per person working","03021","021 Rathcoole, South Dublin","2016","2016","Euro","25834"
"IIA10","Median earned income per person working","03022","022 Rathfarnham-Ballyroan, South Dublin","2016","2016","Euro","22008"
"IIA10","Median earned income per person working","03023","023 Rathfarnham-Butterfield, South Dublin","2016","2016","Euro","28040"
"IIA10","Median earned income per person working","03024","024 Rathfarnham-Hermitage, South Dublin","2016","2016","Euro","28665"
"IIA10","Median earned income per person working","03025","025 Rathfarnham-St. Enda's, South Dublin","2016","2016","Euro","29976"
"IIA10","Median earned income per person working","03026","026 Rathfarnham Village, South Dublin","2016","2016","Euro","29442"
"IIA10","Median earned income per person working","03027","027 Saggart, South Dublin","2016","2016","Euro","28156"
"IIA10","Median earned income per person working","03028","028 Tallaght-Avonbeg, South Dublin","2016","2016","Euro","24678"
"IIA10","Median earned income per person working","03029","029 Tallaght-Belgard, South Dublin","2016","2016","Euro","40125"
"IIA10","Median earned income per person working","03030","030 Tallaght-Fettercairn, South Dublin","2016","2016","Euro","46522"
"IIA10","Median earned income per person working","03031","031 Tallaght-Glenview, South Dublin","2016","2016","Euro","29079"
"IIA10","Median earned income per person working","03032","032 Tallaght-Jobstown, South Dublin","2016","2016","Euro","29726"
"IIA10","Median earned income per person working","03033","033 Tallaght-Killinardan, South Dublin","2016","2016","Euro","33999"
"IIA10","Median earned income per person working","03034","034 Tallaght-Kilnamanagh, South Dublin","2016","2016","Euro","32687"
"IIA10","Median earned income per person working","03035","035 Tallaght-Kiltipper, South Dublin","2016","2016","Euro","18434"
"IIA10","Median earned income per person working","03036","036 Tallaght-Kingswood, South Dublin","2016","2016","Euro","34312"
"IIA10","Median earned income per person working","03037","037 Tallaght-Millbrook, South Dublin","2016","2016","Euro","25658"
"IIA10","Median earned income per person working","03038","038 Tallaght-Oldbawn, South Dublin","2016","2016","Euro","31743"
"IIA10","Median earned income per person working","03039","039 Tallaght-Springfield, South Dublin","2016","2016","Euro","36855"
"IIA10","Median earned income per person working","03040","040 Tallaght-Tymon, South Dublin","2016","2016","Euro","33821"
"IIA10","Median earned income per person working","03041","041 Templeogue-Cypress, South Dublin","2016","2016","Euro","34079"
"IIA10","Median earned income per person working","03042","042 Templeogue-Kimmage Manor, South Dublin","2016","2016","Euro","32079"
"IIA10","Median earned income per person working","03043","043 Templeogue-Limekiln, South Dublin","2016","2016","Euro","31746"
"IIA10","Median earned income per person working","03044","044 Templeogue-Orwell, South Dublin","2016","2016","Euro","39269"
"IIA10","Median earned income per person working","03045","045 Templeogue-Osprey, South Dublin","2016","2016","Euro","28994"
"IIA10","Median earned income per person working","03046","046 Templeogue Village, South Dublin","2016","2016","Euro","29894"
"IIA10","Median earned income per person working","03047","047 Terenure-Cherryfield, South Dublin","2016","2016","Euro","20918"
"IIA10","Median earned income per person working","03048","048 Terenure-Greentrees, South Dublin","2016","2016","Euro","20008"
"IIA10","Median earned income per person working","03049","049 Terenure-St. James, South Dublin","2016","2016","Euro","30328"
"IIA10","Median earned income per person working","04001","001 Airport, Fingal","2016","2016","Euro","34653"
"IIA10","Median earned income per person working","04002","002 Balbriggan Rural, Fingal","2016","2016","Euro","29165"
"IIA10","Median earned income per person working","04003","003 Balbriggan Urban, Fingal","2016","2016","Euro","23797"
"IIA10","Median earned income per person working","04004","004 Baldoyle, Fingal","2016","2016","Euro","36873"
"IIA10","Median earned income per person working","04005","005 Balgriffin, Fingal","2016","2016","Euro","29548"
"IIA10","Median earned income per person working","04006","006 Ballyboghil, Fingal","2016","2016","Euro","28740"
"IIA10","Median earned income per person working","04007","007 Balscadden, Fingal","2016","2016","Euro","28847"
"IIA10","Median earned income per person working","04008","008 Blanchardstown-Abbotstown, Fingal","2016","2016","Euro","37988"
"IIA10","Median earned income per person working","04009","009 Blanchardstown-Blakestown, Fingal","2016","2016","Euro","27918"
"IIA10","Median earned income per person working","04010","010 Blanchardstown-Coolmine, Fingal","2016","2016","Euro","26120"
"IIA10","Median earned income per person working","04011","011 Blanchardstown-Corduff, Fingal","2016","2016","Euro","35999"
"IIA10","Median earned income per person working","04012","012 Blanchardstown-Delwood, Fingal","2016","2016","Euro","26521"
"IIA10","Median earned income per person working","04013","013 Blanchardstown-Mulhuddart, Fingal","2016","2016","Euro","47319"
"IIA10","Median earned income per person working","04014","014 Blanchardstown-Roselawn, Fingal","2016","2016","Euro","23284"
"IIA10","Median earned income per person working","04015","015 Blanchardstown-Tyrrelstown, Fingal","2016","2016","Euro","45681"
"IIA10","Median earned income per person working","04016","016 Castleknock-Knockmaroon, Fingal","2016","2016","Euro","32061"
"IIA10","Median earned income per person working","04017","017 Castleknock-Park, Fingal","2016","2016","Euro","33739"
"IIA10","Median earned income per person working","04018","018 Clonmethan, Fingal","2016","2016","Euro","25890"
